Company,Model,Lens,NA,Zoom_x,Core_Technology,Configuration,type_of_interaction,Acquisition_mode,STR_nm,Accuracy_microns,Accuracy_percentage,Vertical_Resolution_nm,Sq_repeatability_nm,Repeatability _nm,Ra_repeatability_nm,Rz_repeatability_nm,Angular_Coverage_Perfectdiffuser_deg,Angular_Coverage_MirrorLike_deg,LATA_microns,Optical_Resolution_microns,Spatial_Sampling_microns,img_width,img_height,area_mm2,Line_Lenght_mm,XYspeed_mm/sec,Working_disitance_mm,Z_Speed_Sca_micron/sec,Z_stage,Z_working_range_mm,XY_Stage,Weight_Kg,Max_sample_weight_Kg,Frequency_KHz,Max_number_of_points_per_scan_,Sample_reflectivity_percentage,Measurement_time_s,COST,High_res_color_texture,Max. sample stage positioning range ,Intorduction date,Reference document
nanovea,ST500,Modular Optical pen,,,Non Contact Chromatic Confocal ,Benchtop/Workstation,white light,Array,,3,,,,,,,,,8,,,,,160000,,200,19.6,,Motorized,50,,,4,,,,,,,,,
nanovea,ST500,Classical Optical Pen,,,Non Contact Chromatic Confocal ,Benchtop/Workstation,white light,Array,,0.01,,,,,,,,,1.5,,,,,160000,,200,0.02,,Motorized,50,,,4,,,,,,,,,
nanovea,ST500,Classical Optical Pen,,,Non Contact Chromatic Confocal ,Benchtop/Workstation,white light,Array,,0.09,,,,,,,,,3.7,,,,,160000,,200,0.3,,Motorized,50,,,4,,,,,,,,,
nanovea,ST500,Classical Optical Pen,,,Non Contact Chromatic Confocal ,Benchtop/Workstation,white light,Array,,0.06,,,,,,,,,3.5,,,,,160000,,200,0.35,,Motorized,50,,,4,,,,,,,,,
nanovea,ST500,Classical Optical Pen,,,Non Contact Chromatic Confocal ,Benchtop/Workstation,white light,Array,,0.6,,,,,,,,,6.25,,,,,160000,,200,6,,Motorized,50,,,4,,,,,,,,,
nanovea,ST500,Classical Optical Pen,,,Non Contact Chromatic Confocal ,Benchtop/Workstation,white light,Array,,0.9,,,,,,,,,25.5,,,,,160000,,200,10,,Motorized,50,,,4,,,,,,,,,
nanovea,ST500,Classical Optical Pen,,,Non Contact Chromatic Confocal ,Benchtop/Workstation,white light,Array,,0.3,,,,,,,,,22.5,,,,,160000,,200,24,,Motorized,50,,,4,,,,,,,,,
nanovea,H22000,Modular Optical pen,,,Non Contact Chromatic Confocal ,Workstation,white light,Array,,0.02,,,,,,,,,1.1,,,,,200000,,500,3.3,,Motorized,100,,,7,,,,,,,,,
nanovea,H22000,Modular Optical pen,,,Non Contact Chromatic Confocal ,Workstation,white light,Array,,0.06,,,,,,,,,1.1,,,,,200000,,500,11,,Motorized,100,,,7,,,,,,,,,
nanovea,H22000,Modular Optical pen,,,Non Contact Chromatic Confocal ,Workstation,white light,Array,,0.2,,,,,,,,,1.55,,,,,200000,,500,12.7,,Motorized,100,,,7,,,,,,,,,
nanovea,H22000,Modular Optical pen,,,Non Contact Chromatic Confocal ,Workstation,white light,Array,,0.4,,,,,,,,,2.6,,,,,200000,,500,16.4,,Motorized,100,,,7,,,,,,,,,
nanovea,H22000,Modular Optical pen,,,Non Contact Chromatic Confocal ,Workstation,white light,Array,,0.9,,,,,,,,,2.6,,,,,200000,,500,29,,Motorized,100,,,7,,,,,,,,,
nanovea,H22000,Modular Optical pen,,,Non Contact Chromatic Confocal ,Workstation,white light,Array,,3,,,,,,,,,8,,,,,200000,,500,19.6,,Motorized,100,,,7,,,,,,,,,
nanovea,H22000,Classical Optical Pen,,,Non Contact Chromatic Confocal ,Workstation,white light,Array,,0.01,,,,,,,,,1.5,,,,,200000,,500,0.02,,Motorized,100,,,7,,,,,,,,,
nanovea,H22000,Classical Optical Pen,,,Non Contact Chromatic Confocal ,Workstation,white light,Array,,0.09,,,,,,,,,3.7,,,,,200000,,500,0.3,,Motorized,100,,,7,,,,,,,,,
nanovea,H22000,Classical Optical Pen,,,Non Contact Chromatic Confocal ,Workstation,white light,Array,,0.06,,,,,,,,,3.5,,,,,200000,,500,0.35,,Motorized,100,,,7,,,,,,,,,
nanovea,H22000,Classical Optical Pen,,,Non Contact Chromatic Confocal ,Workstation,white light,Array,,0.6,,,,,,,,,6.25,,,,,200000,,500,6,,Motorized,100,,,7,,,,,,,,,
nanovea,H22000,Classical Optical Pen,,,Non Contact Chromatic Confocal ,Workstation,white light,Array,,0.9,,,,,,,,,25.5,,,,,200000,,500,10,,Motorized,100,,,7,,,,,,,,,
