Company,Model,Lens,NA,Zoom (x),Core_Technology,Configuration,type of interaction,Acquisition mode,STR (nm),Accuracy_micron,Vertical Resolution(nm),Sq repeatability (nm),Repatability (nm),Ra repeatability (nm),Rz repeatability (nm),Angular Coverage Perfect diffuser,Angular Coverage Mirror Like,LATA(micron),Optical Resolution(micron),Spatial_Sampling_micron,area_mm2,Line Lenght (mm),X-Y speed (mm/sec),Working disitance (mm),Z Speed Scan (micron/sec),Z stage,Z working range (mm),X/Y Stage,Weight (Kg),Max sample weight,Frequency (Khz),Max number of point per scan,Sample reflectivity (%),Measurement time (s),COST,High res color texture,Max. sample stage positioning range 
zygo,nomad,STD 100x,0.85,0.5,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,40.36,,0.34,0.16,0.17,,,0.5,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,STD 100x,0.85,1,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,40.36,,0.34,0.08,0.08,,,0.5,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,STD 100x,0.85,2,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,40.36,,0.34,0.04,0.04,,,0.5,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,LWD 1x,0.003,0.5,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,1.34,,9.5,16.42,16.81,,,8,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,LWD 1x,0.003,1,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,1.34,,9.5,8.15,8.34,,,8,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,LWD 1x,0.003,2,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,1.34,,9.5,4.1,4.2,,,8,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,LWD 2x,0.055,0.5,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,2.66,,5.18,8.21,8.41,,,21,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,LWD 2x,0.055,1,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,2.66,,5.18,4.07,4.17,,,21,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,LWD 2x,0.055,2,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,2.66,,5.18,2.05,2.1,,,21,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,LWD 5x,0.03,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,6.3,,1.02,3.28,3.36,,,21,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,LWD 5x,0.03,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,6.3,,1.02,1.63,1.67,,,21,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,LWD 5x,0.03,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,6.3,,1.02,0.82,0.84,,,21,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,LWD 10x,0.28,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,13.13,,1.02,1.44,1.47,,,19,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,LWD 10x,0.28,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,13.13,,1.02,0.7,0.73,,,19,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
